run_accession	study_accession	sample_accession	experiment_accession	scientific_name	experiment_title	fastq_ftp	sample_title
ERR13347142	PRJEB77209	SAMEA115805085	ERX12718042	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/042/ERR13347142/ERR13347142_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/042/ERR13347142/ERR13347142_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab H Sample 20
ERR13347155	PRJEB77209	SAMEA115804915	ERX12718055	Staphylococcus aureus	Ion Torrent S5 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/055/ERR13347155/ERR13347155.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab A Sample 02
ERR13347157	PRJEB77209	SAMEA115804917	ERX12718057	Staphylococcus aureus	Ion Torrent S5 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/057/ERR13347157/ERR13347157.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab A Sample 04
ERR13347159	PRJEB77209	SAMEA115804919	ERX12718059	Staphylococcus aureus	Ion Torrent S5 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/059/ERR13347159/ERR13347159.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab A Sample 06
ERR13347161	PRJEB77209	SAMEA115804921	ERX12718061	Staphylococcus aureus	Ion Torrent S5 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/061/ERR13347161/ERR13347161.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab A Sample 08
ERR13347164	PRJEB77209	SAMEA115804924	ERX12718064	Staphylococcus aureus	Ion Torrent S5 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/064/ERR13347164/ERR13347164.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab A Sample 11
ERR13347169	PRJEB77209	SAMEA115804929	ERX12718069	Staphylococcus aureus	Ion Torrent S5 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/069/ERR13347169/ERR13347169.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab A Sample 16
ERR13347171	PRJEB77209	SAMEA115804931	ERX12718071	Staphylococcus aureus	Ion Torrent S5 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/071/ERR13347171/ERR13347171.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab A Sample 18
ERR13347172	PRJEB77209	SAMEA115804932	ERX12718072	Staphylococcus aureus	Ion Torrent S5 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/072/ERR13347172/ERR13347172.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab A Sample 19
ERR13347175	PRJEB77209	SAMEA115805087	ERX12718075	Staphylococcus aureus	Ion Torrent S5 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/075/ERR13347175/ERR13347175.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab I Sample 03
ERR13347178	PRJEB77209	SAMEA115805090	ERX12718078	Staphylococcus aureus	Ion Torrent S5 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/078/ERR13347178/ERR13347178.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab I Sample 06
ERR13347185	PRJEB77209	SAMEA115805097	ERX12718085	Staphylococcus aureus	Ion Torrent S5 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/085/ERR13347185/ERR13347185.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab I Sample 13
ERR13347187	PRJEB77209	SAMEA115805099	ERX12718087	Staphylococcus aureus	Ion Torrent S5 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/087/ERR13347187/ERR13347187.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab I Sample 15
ERR13347189	PRJEB77209	SAMEA115805101	ERX12718089	Staphylococcus aureus	Ion Torrent S5 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/089/ERR13347189/ERR13347189.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab I Sample 17
ERR13346993	PRJEB77209	SAMEA115804936	ERX12717893	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/093/ERR13346993/ERR13346993_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/093/ERR13346993/ERR13346993_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab B Sample 04
ERR13346996	PRJEB77209	SAMEA115804939	ERX12717896	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/096/ERR13346996/ERR13346996_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/096/ERR13346996/ERR13346996_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab B Sample 07
ERR13347004	PRJEB77209	SAMEA115804947	ERX12717904	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/004/ERR13347004/ERR13347004_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/004/ERR13347004/ERR13347004_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab B Sample 15
ERR13347006	PRJEB77209	SAMEA115804949	ERX12717906	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/006/ERR13347006/ERR13347006_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/006/ERR13347006/ERR13347006_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab B Sample 17
ERR13347024	PRJEB77209	SAMEA115804967	ERX12717924	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/024/ERR13347024/ERR13347024_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/024/ERR13347024/ERR13347024_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab C Sample 16
ERR13347025	PRJEB77209	SAMEA115804968	ERX12717925	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/025/ERR13347025/ERR13347025_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/025/ERR13347025/ERR13347025_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab C Sample 17
ERR13347027	PRJEB77209	SAMEA115804970	ERX12717927	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/027/ERR13347027/ERR13347027_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/027/ERR13347027/ERR13347027_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab C Sample 19
ERR13347030	PRJEB77209	SAMEA115804973	ERX12717930	Staphylococcus aureus	Illumina MiniSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/030/ERR13347030/ERR13347030_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/030/ERR13347030/ERR13347030_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab D Sample 03
ERR13347031	PRJEB77209	SAMEA115804974	ERX12717931	Staphylococcus aureus	Illumina MiniSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/031/ERR13347031/ERR13347031_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/031/ERR13347031/ERR13347031_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab D Sample 04
ERR13347032	PRJEB77209	SAMEA115804975	ERX12717932	Staphylococcus aureus	Illumina MiniSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/032/ERR13347032/ERR13347032_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/032/ERR13347032/ERR13347032_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab D Sample 05
ERR13347034	PRJEB77209	SAMEA115804977	ERX12717934	Staphylococcus aureus	Illumina MiniSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/034/ERR13347034/ERR13347034_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/034/ERR13347034/ERR13347034_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab D Sample 07
ERR13347036	PRJEB77209	SAMEA115804979	ERX12717936	Staphylococcus aureus	Illumina MiniSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/036/ERR13347036/ERR13347036_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/036/ERR13347036/ERR13347036_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab D Sample 09
ERR13347039	PRJEB77209	SAMEA115804982	ERX12717939	Staphylococcus aureus	Illumina MiniSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/039/ERR13347039/ERR13347039_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/039/ERR13347039/ERR13347039_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab D Sample 12
ERR13347040	PRJEB77209	SAMEA115804983	ERX12717940	Staphylococcus aureus	Illumina MiniSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/040/ERR13347040/ERR13347040_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/040/ERR13347040/ERR13347040_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab D Sample 13
ERR13347041	PRJEB77209	SAMEA115804984	ERX12717941	Staphylococcus aureus	Illumina MiniSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/041/ERR13347041/ERR13347041_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/041/ERR13347041/ERR13347041_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab D Sample 14
ERR13347045	PRJEB77209	SAMEA115804988	ERX12717945	Staphylococcus aureus	Illumina MiniSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/045/ERR13347045/ERR13347045_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/045/ERR13347045/ERR13347045_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab D Sample 18
ERR13347046	PRJEB77209	SAMEA115804989	ERX12717946	Staphylococcus aureus	Illumina MiniSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/046/ERR13347046/ERR13347046_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/046/ERR13347046/ERR13347046_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab D Sample 19
